id_no,binomial,presence,origin,shape_Area
275,Acomys subspinosus,1,1,6.961384025
276,Acomys wilsoni,1,1,111.7444529
278,Aconaemys fuscus,1,1,5.197273384
136331,Aconaemys porteri,1,1,3.162604924
279,Aconaemys sagei,1,1,1.071888794
40584,Acrobates pygmaeus,1,1,0.024889349
40584,Acrobates pygmaeus,1,1,111.3249634
40584,Acrobates pygmaeus,1,1,0.150780466
512,Addax nasomaculatus,1,2,0.070058505
512,Addax nasomaculatus,1,2,0.01646814
512,Addax nasomaculatus,1,2,0.050210695
512,Addax nasomaculatus,1,1,0.260649415
512,Addax nasomaculatus,1,1,1.9321009
512,Addax nasomaculatus,1,1,0.61874876
15595,Aegialomys galapagoensis,1,1,0.001873185
15616,Aegialomys xanthaeolus,1,1,21.26762151
548,Aepeomys lugens,1,1,0.77963293
136484,Aepeomys reigi,1,1,0.45514853
550,Aepyceros melampus,1,1,4.874789725
550,Aepyceros melampus,1,1,287.8336227
40558,Aepyprymnus rufescens,1,1,50.44559232
555,Aeretes melanopterus,1,1,5.313336722
555,Aeretes melanopterus,1,1,0.066302867
556,Aeromys tephromelas,1,1,0.02358854
556,Aeromys tephromelas,1,1,3.355819635
556,Aeromys tephromelas,1,1,2.186365285
556,Aeromys tephromelas,1,1,13.55430667
556,Aeromys tephromelas,1,1,2.614144055
556,Aeromys tephromelas,1,1,7.762986945
557,Aeromys thomasi,1,1,36.29518953
136541,Aethalops aequalis,1,1,2.839941727
565,Aethalops alecto,1,1,9.727776304
565,Aethalops alecto,1,1,9.631579272
565,Aethalops alecto,1,1,0.01666991
565,Aethalops alecto,1,1,17.89487408
565,Aethalops alecto,1,1,0.37807209
565,Aethalops alecto,1,1,0.04497516
565,Aethalops alecto,1,1,17.45372067
565,Aethalops alecto,1,1,0.446393865
568,Aethomys bocagei,1,1,20.87213069
569,Aethomys chrysophilus,1,1,314.5125643
569,Aethomys chrysophilus,1,1,2.70683827
570,Aethomys granti,1,1,12.61155431
571,Aethomys hindei,1,1,202.5039182
44990,Aethomys ineptus,1,1,39.91685311
572,Aethomys kaiseri,1,1,138.9525374
573,Aethomys namaquensis,1,1,297.6823008
574,Aethomys nyikae,1,1,61.00360052
567,Aethomys silindensis,1,1,1.646397275
575,Aethomys stannarius,1,1,14.03551556
576,Aethomys thomasi,1,1,22.62676522
712,Ailuropoda melanoleuca,1,1,0.02826229
712,Ailuropoda melanoleuca,1,1,0.00535029
712,Ailuropoda melanoleuca,1,1,0.02713065
712,Ailuropoda melanoleuca,1,1,0.00232322
712,Ailuropoda melanoleuca,1,1,0.33744644
712,Ailuropoda melanoleuca,1,1,0.021268685
712,Ailuropoda melanoleuca,1,1,0.01783199
712,Ailuropoda melanoleuca,1,1,0.018615325
712,Ailuropoda melanoleuca,1,1,0.019966165
712,Ailuropoda melanoleuca,1,1,0.0342951
712,Ailuropoda melanoleuca,1,1,0.009680305
712,Ailuropoda melanoleuca,1,1,0.199562755
712,Ailuropoda melanoleuca,1,1,0.1184247
712,Ailuropoda melanoleuca,1,1,0.031712055
712,Ailuropoda melanoleuca,1,1,0.11012589
712,Ailuropoda melanoleuca,1,1,0.00860409
712,Ailuropoda melanoleuca,1,1,0.255880725
712,Ailuropoda melanoleuca,1,1,0.00504389
712,Ailuropoda melanoleuca,1,1,0.258444645
712,Ailuropoda melanoleuca,1,1,0.033543815
136218,Ailurops melanotis,1,1,0.00707392
40637,Ailurops ursinus,1,1,7.55143E-05
40637,Ailurops ursinus,1,1,0.190900901
40637,Ailurops ursinus,1,1,0.006097885
40637,Ailurops ursinus,1,1,0.366470786
40637,Ailurops ursinus,1,1,13.77352649
40637,Ailurops ursinus,1,1,0.005013105
40637,Ailurops ursinus,1,1,0.001188644
40637,Ailurops ursinus,1,1,0.007934029
40637,Ailurops ursinus,1,1,0.00354312
40637,Ailurops ursinus,1,1,0.014624758
40637,Ailurops ursinus,1,1,0.019560529
714,Ailurus fulgens,1,1,31.27247456
723,Akodon aerosus,1,1,3.637183614
723,Akodon aerosus,1,1,5.719941814
723,Akodon aerosus,1,1,0.076192605
724,Akodon affinis,1,1,2.02887293
724,Akodon affinis,1,1,1.411645644
725,Akodon albiventer,1,1,34.6909046
136432,Akodon aliquantulus,1,1,0.043714024
726,Akodon azarae,1,1,9.236E-05
726,Akodon azarae,1,1,5.896E-05
726,Akodon azarae,1,1,0.000203105
726,Akodon azarae,1,1,0.00155888
726,Akodon azarae,1,1,0.000103445
726,Akodon azarae,1,1,5.8845E-05
726,Akodon azarae,1,1,0.0004069
726,Akodon azarae,1,1,0.00413408
726,Akodon azarae,1,1,0.000162325
726,Akodon azarae,1,1,118.9263924
726,Akodon azarae,1,1,9.6145E-05
726,Akodon azarae,1,1,0.0001804
726,Akodon azarae,1,1,0.00022517
726,Akodon azarae,1,1,0.00231508
726,Akodon azarae,1,1,0.00128195
726,Akodon azarae,1,1,8.1965E-05
726,Akodon azarae,1,1,0.0002076
726,Akodon azarae,1,1,0.00065033
726,Akodon azarae,1,1,0.000158295
726,Akodon azarae,1,1,4.591E-05
726,Akodon azarae,1,1,0.000121395
726,Akodon azarae,1,1,0.000102295
726,Akodon azarae,1,1,5.48E-05
726,Akodon azarae,1,1,0.000350935
726,Akodon azarae,1,1,7.726E-05
726,Akodon azarae,1,1,7.163E-05
726,Akodon azarae,1,1,0.000185565
726,Akodon azarae,1,1,0.00243664
726,Akodon azarae,1,1,8.759E-05
726,Akodon azarae,1,1,0.000386175
726,Akodon azarae,1,1,0.00047796
726,Akodon azarae,1,1,0.00025847
726,Akodon azarae,1,1,0.002347535
726,Akodon azarae,1,1,0.000291655
726,Akodon azarae,1,1,0.00119409
726,Akodon azarae,1,1,0.00509192
726,Akodon azarae,1,1,0.016923455
726,Akodon azarae,1,1,0.00032866
726,Akodon azarae,1,1,0.00018245
726,Akodon azarae,1,1,0.00017431
726,Akodon azarae,1,1,6.31E-05
726,Akodon azarae,1,1,8.0165E-05
726,Akodon azarae,1,1,0.00017683
726,Akodon azarae,1,1,6.169E-05
726,Akodon azarae,1,1,0.0005126
726,Akodon azarae,1,1,0.00018761
726,Akodon azarae,1,1,0.000250135
726,Akodon azarae,1,1,0.0001815
726,Akodon azarae,1,1,0.00011331
726,Akodon azarae,1,1,0.000103305
726,Akodon azarae,1,1,6.4935E-05
726,Akodon azarae,1,1,0.00068169
726,Akodon azarae,1,1,0.00021888
726,Akodon azarae,1,1,5.5845E-05
726,Akodon azarae,1,1,0.00016774
726,Akodon azarae,1,1,0.00019946
726,Akodon azarae,1,1,0.00011417
726,Akodon azarae,1,1,4.496E-05
726,Akodon azarae,1,1,0.00006086
726,Akodon azarae,1,1,6.7595E-05
726,Akodon azarae,1,1,0.00108547
727,Akodon bogotensis,1,1,0.857336915
727,Akodon bogotensis,1,1,4.055721327
728,Akodon boliviensis,1,1,18.51100338
729,Akodon budini,1,1,1.750883545
730,Akodon cursor,1,1,70.51178574
730,Akodon cursor,1,1,0.055942575
731,Akodon dayi,1,1,24.39786046
732,Akodon dolores,1,1,5.226355187
733,Akodon fumeus,1,1,12.84350351
736,Akodon iniscatus,1,1,0.000141755
736,Akodon iniscatus,1,1,62.1350318
736,Akodon iniscatus,1,1,0.00119409
736,Akodon iniscatus,1,1,0.00030998
736,Akodon iniscatus,1,1,0.002347535
736,Akodon iniscatus,1,1,0.00243664
736,Akodon iniscatus,1,1,0.00021888
736,Akodon iniscatus,1,1,0.00064398
736,Akodon iniscatus,1,1,0.00010689
736,Akodon iniscatus,1,1,7.6315E-05
736,Akodon iniscatus,1,1,6.1315E-05
736,Akodon iniscatus,1,1,0.00021056
736,Akodon iniscatus,1,1,0.000254305
736,Akodon iniscatus,1,1,7.7675E-05
736,Akodon iniscatus,1,1,0.00034365
736,Akodon iniscatus,1,1,0.00025016
736,Akodon iniscatus,1,1,0.00021129
737,Akodon juninensis,1,1,0.00396198
737,Akodon juninensis,1,1,9.57221873
739,Akodon kofordi,1,1,0.04187554
