"","id_no","binomial","presence","origin","shape_Area","TaxonID","Order","Family","Genus","Species","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","TaxonomicNote","FillCode","TrophicLevel","MammalEater","Insectivore","Frugivore","Granivore","Folivore","DataSource","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"19",751,"Abrothrix olivaceus",1,1,119.3489404,849,"RODENTIA","CRICETIDAE","Abrothrix","olivaceus",1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,"Listed in genus Chroeomys",0,"Omnivore",0,1,0,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",754,"Abrothrix sanborni",1,1,2.405627484,850,"RODENTIA","CRICETIDAE","Abrothrix","sanborni",1,0,0,0,0,0,1,2,NA,NA,0,0,NA,0,0,0,"",2.2,"Omnivore",0,1,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",137,"Acerodon celebensis",1,1,0.01462723,5011,"CHIROPTERA","PTEROPODIDAE","Acerodon","celebensis",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",0,"Herbivore",0,0,1,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",138,"Acerodon humilis",1,1,0.068617615,5012,"CHIROPTERA","PTEROPODIDAE","Acerodon","humilis",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",2.2,"Herbivore",0,0,1,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",139,"Acerodon jubatus",1,1,2.186656165,5013,"CHIROPTERA","PTEROPODIDAE","Acerodon","jubatus",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",0,"Herbivore",0,0,1,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",140,"Acerodon leucotis",1,1,0.946766225,5014,"CHIROPTERA","PTEROPODIDAE","Acerodon","leucotis",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",2.2,"Herbivore",0,0,1,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",142,"Acerodon mackloti",1,1,1.177835005,5015,"CHIROPTERA","PTEROPODIDAE","Acerodon","mackloti",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",0,"Herbivore",0,0,1,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",219,"Acinonyx jubatus",1,1,0.238403234,2421,"CARNIVORA","FELIDAE","Acinonyx","jubatus",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",1,0,0,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",44936,"Acomys airensis",1,1,156.2333516,3328,"RODENTIA","MURIDAE","Acomys","airensis",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Not Recorded",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",263,"Acomys cahirinus",1,1,275.57118,3329,"RODENTIA","MURIDAE","Acomys","cahirinus",2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,"",1,"Omnivore",0,0,0,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
