"","binomial_syn"
"216","Pronolagus saundersiae"
"217","Pseudalopex fulvipes"
"218","Pseudocheirus occidentalis"
"219","Pseudohydromys germani"
"220","Pseudois nayaur ssp. schaeferi"
"221","Pteralopex flanneryi"
"222","Pteronotus paraguanensis"
"223","Rattus arfakienis"
"224","Reithrodontomys bakeri"
"225","Rhinopithecus strykeri"
"226","Rhipidomys cariri"
"227","Rhynchocyon udzungwensis"
"228","Rhynchomys banahao"
"229","Rhynchomys tapulao"
"230","Rungwecebus kipunji"
"231","Santamartamys rufodorsalis"
"232","Saxatilomys paulinae"
"233","Scotophilus marovaza"
"234","Scotophilus tandrefana"
"235","Smutsia gigantea"
"236","Smutsia temminckii"
"237","Sorex ixtlanensis"
"238","Sorex mediopua"
"239","Sorex rohweri"
"240","Soricomys kalinga"
"241","Spermophilus taurensis"
"242","Spilocuscus wilsoni"
"243","Sturnira sorianoi"
"244","Styloctenium mindorensis"
"245","Tamiops macclellandii"
"246","Tarsius lariang"
"247","Tarsius tumpara"
"248","Tarsius wallacei"
"249","Thamnomys schoutedeni"
"250","Thylamys citellus"
"251","Thylamys fenestrae"
"252","Thylamys pulchellus"
"253","Thyroptera devivoi"
"254","Tokudaia tokunoshimensis"
"255","Tonkinomys daovantieni"
"256","Toromys grandis"
"257","Tragelaphus derbianus"
"258","Tragelaphus oryx"
"259","Voalavo antsahabensis"
"260","Wiedomys cerradensis"
"261","Xeronycteris vieirai"
"262","Zaglossus bruijnii"
"263","Zyzomys palatalis"
