TaxonID,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TaxonomicNote,FillCode,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,DataSource
51,RODENTIA,APLODONTIIDAE,Aplodontia,rufa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,Herbivore,0,0,0,0,0,Nowak
54,PRIMATES,ATELIDAE,Alouatta,arctoidea,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
55,PRIMATES,ATELIDAE,Alouatta,belzebul,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
56,PRIMATES,ATELIDAE,Alouatta,caraya,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
57,PRIMATES,ATELIDAE,Alouatta,discolor,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
58,PRIMATES,ATELIDAE,Alouatta,guariba,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
59,PRIMATES,ATELIDAE,Alouatta,juara,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
60,PRIMATES,ATELIDAE,Alouatta,macconnelli,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,1,IUCN
61,PRIMATES,ATELIDAE,Alouatta,nigerrima,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
62,PRIMATES,ATELIDAE,Alouatta,palliata,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
63,PRIMATES,ATELIDAE,Alouatta,pigra,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
64,PRIMATES,ATELIDAE,Alouatta,puruensis,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
65,PRIMATES,ATELIDAE,Alouatta,sara,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
66,PRIMATES,ATELIDAE,Alouatta,seniculus,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
67,PRIMATES,ATELIDAE,Alouatta,ululata,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,0,0,1,IUCN
69,PRIMATES,ATELIDAE,Ateles,belzebuth,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
70,PRIMATES,ATELIDAE,Ateles,chamek,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
71,PRIMATES,ATELIDAE,Ateles,fusciceps,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
72,PRIMATES,ATELIDAE,Ateles,geoffroyi,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
73,PRIMATES,ATELIDAE,Ateles,hybridus,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
74,PRIMATES,ATELIDAE,Ateles,marginatus,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
75,PRIMATES,ATELIDAE,Ateles,paniscus,3,0,0,0,0,0,3,1,2,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
77,PRIMATES,ATELIDAE,Brachyteles,arachnoides,0,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,Family Cebidae in Nowak 1999,1,Herbivore,0,0,0,0,1,Extrapolated
78,PRIMATES,ATELIDAE,Brachyteles,hypoxanthus,0,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,Family Cebidae in Nowak 1999,1,Herbivore,0,0,0,0,1,Extrapolated
80,PRIMATES,ATELIDAE,Lagothrix,cana,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,3,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
81,PRIMATES,ATELIDAE,Lagothrix,lagotricha,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
82,PRIMATES,ATELIDAE,Lagothrix,lugens,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,2,Family Cebidae in Nowak 1999,0,Herbivore,0,0,1,0,0,IUCN
