"","id_no","binomial","presence","origin","shape_Area","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"23",139,"Acerodon jubatus",1,1,2.186656165,3669,"Pteropodidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",1075,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",140,"Acerodon leucotis",1,1,0.946766225,3670,"Pteropodidae",0,0,0,0,0,0,100,0,0,0,"Ref_2","D1","Ar","A","",1,0,0,"Ref_1","ABC",462.47,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",142,"Acerodon mackloti",1,1,1.177835005,3671,"Pteropodidae",0,0,0,0,0,0,100,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",470.33,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",219,"Acinonyx jubatus",1,1,0.238403234,4791,"Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",46700,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",44936,"Acomys airensis",1,1,156.2333516,2048,"Muridae",10,0,0,0,30,0,0,0,10,50,"Ref_2","D1","G","A","",1,1,0,"Ref_1","ABC",28.81,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",263,"Acomys cahirinus",1,1,275.57118,2063,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",52.45,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",264,"Acomys cilicicus",1,1,0.001771405,2061,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",28.61,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",265,"Acomys cineraceus",1,1,0.55437053,2060,"Muridae",10,0,0,0,30,0,0,0,10,50,"Ref_2","D1","G","A","",1,1,0,"Ref_1","ABC",30.59,"Ref_178",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",136471,"Acomys dimidiatus",1,1,0.541530775,2059,"Muridae",10,0,0,0,30,0,0,0,10,50,"Ref_2","D1","G","A","",1,1,0,"Ref_1","ABC",28.81,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",266,"Acomys ignitus",1,1,8.561375735,2058,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",24,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",44938,"Acomys johannis",1,1,33.01588113,2057,"Muridae",10,0,0,0,30,0,0,0,10,50,"Ref_2","D1","G","A","",1,1,0,"Ref_1","ABC",28.81,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",267,"Acomys kempi",1,1,46.32145565,2055,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",22,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",268,"Acomys louisae",1,1,56.35100121,2064,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",20.2,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",269,"Acomys minous",1,1,0.826290065,2047,"Muridae",0,0,0,0,30,0,0,0,0,70,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",62.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
