eco_code,area_km2
NA1109,88523
NA1110,467509
NA1111,234132
NA1112,306129
NA1113,172182
NA1114,801765
NA1115,1040236
NA1116,209808
NA1117,107362
NA1118,32463
NA1201,36249
NA1202,64627
NA1203,20407
NA1301,77590
NA1302,59195
NA1303,508892
NA1304,326501
NA1305,336212
NA1306,23537
NA1307,124975
NA1308,130647
NA1309,218533
NA1310,222843
NA1311,16237
NA1312,141231
NA1313,132577
NT0101,215673
NT0102,7850
NT0103,109305
NT0104,229241
NT0105,90229
NT0106,4776
NT0107,183358
NT0108,22753
NT0109,31915
NT0110,95
NT0111,89450
NT0112,13251
NT0113,5759
NT0114,2077
NT0115,73305
NT0116,25
NT0117,14282
NT0118,67577
NT0119,10900
NT0120,21339
NT0121,102062
NT0122,3031
NT0123,19
NT0124,145963
NT0125,476136
NT0126,9881
NT0127,45814
NT0128,114506
NT0129,58359
NT0130,29176
NT0131,8270
NT0132,268444
NT0133,241493
NT0134,986
NT0135,716682
NT0136,104598
NT0137,76440
NT0138,88305
NT0139,141635
NT0140,412314
NT0141,66506
NT0142,250591
NT0143,200932
NT0144,10011
NT0145,80806
NT0146,7577
NT0147,28028
NT0148,17153
NT0149,7690
NT0150,482879
NT0151,17502
NT0152,22597
NT0153,185961
NT0154,148595
NT0155,7504
NT0156,176760
NT0157,173261
NT0158,95986
NT0159,4766
NT0160,104610
NT0161,3890
NT0162,11218
NT0163,166931
NT0164,2071
NT0165,75150
NT0166,746653
NT0167,16274
NT0168,335099
NT0169,50675
NT0170,192766
NT0171,4722
NT0172,9
NT0173,470048
NT0174,114443
NT0175,29269
NT0176,68946
NT0177,4942
NT0178,33954
NT0179,2014
NT0180,265072
NT0181,69482
NT0182,229836
NT0201,68245
NT0202,114660
NT0204,37384
NT0205,62247
NT0206,72780
NT0207,7313
NT0209,67773
NT0210,786790
NT0211,13974
NT0212,229767
NT0213,65745
NT0214,21187
NT0215,15446
NT0216,213
NT0217,26050
NT0218,2310
NT0219,16870
NT0220,907
NT0221,19549
NT0222,30085
NT0223,11322
NT0224,5087
NT0225,2261
NT0226,1271
NT0227,3975
NT0228,77362
NT0229,24879
NT0230,42282
NT0232,41100
NT0233,6616
NT0235,49623
NT0301,6870
NT0302,2822
NT0303,110942
NT0304,6405
NT0305,11560
NT0306,18854
NT0307,1061
NT0308,14298
NT0309,60973
NT0310,98111
NT0401,146
NT0402,164642
NT0403,6
NT0404,248398
NT0702,125589
NT0703,26313
