"","binomial_syn"
"216","Proedromys liangshanensis"
"217","Pronolagus saundersiae"
"218","Pseudalopex fulvipes"
"219","Pseudocheirus occidentalis"
"220","Pseudohydromys germani"
"221","Pseudois nayaur ssp. schaeferi"
"222","Pteralopex flanneryi"
"223","Pteronotus paraguanensis"
"224","Rattus arfakienis"
"225","Reithrodontomys bakeri"
"226","Rhinopithecus strykeri"
"227","Rhipidomys cariri"
"228","Rhynchocyon udzungwensis"
"229","Rhynchomys banahao"
"230","Rhynchomys tapulao"
"231","Rungwecebus kipunji"
"232","Santamartamys rufodorsalis"
"233","Saxatilomys paulinae"
"234","Scotophilus marovaza"
"235","Scotophilus tandrefana"
"236","Smutsia gigantea"
"237","Smutsia temminckii"
"238","Sorex ixtlanensis"
"239","Sorex mediopua"
"240","Sorex rohweri"
"241","Soricomys kalinga"
"242","Spermophilus taurensis"
"243","Spilocuscus wilsoni"
"244","Sturnira sorianoi"
"245","Styloctenium mindorensis"
"246","Tamiops macclellandii"
"247","Tarsius lariang"
"248","Tarsius tumpara"
"249","Tarsius wallacei"
"250","Thamnomys schoutedeni"
"251","Thylamys citellus"
"252","Thylamys fenestrae"
"253","Thylamys pulchellus"
"254","Thyroptera devivoi"
"255","Tokudaia tokunoshimensis"
"256","Tonkinomys daovantieni"
"257","Toromys grandis"
"258","Tragelaphus derbianus"
"259","Tragelaphus oryx"
"260","Voalavo antsahabensis"
"261","Wiedomys cerradensis"
"262","Xeronycteris vieirai"
"263","Zaglossus bruijnii"
"264","Zyzomys palatalis"
