"","id_no","binomial","presence","origin","shape_Area","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"11",136546,"Abrocoma vaccarum",1,1,0.003577213,"Mammalia","Rodentia","Abrocomidae","Abrocoma","vaccarum",-999,"Mendozan Chinchilla Rat",-999,1.995,-999,221.82,1.083333333,112.26904,-999,12.755,-999,-999,-999,-999,1.083333333,-999,-999,-999,-999,-999,-999,-999,-999,20.1,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4803,"Abrothrix andinus",1,1,53.85411678,"Mammalia","Rodentia","Cricetidae","Abrothrix","andinus",-999,"Andean Akodont",-999,-999,-999,34.65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",734,"Abrothrix hershkovitzi",1,1,0.038741072,"Mammalia","Rodentia","Cricetidae","Abrothrix","hershkovitzi",-999,"Hershkovitz's Akodont",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",735,"Abrothrix illuteus",1,1,0.11564935,"Mammalia","Rodentia","Cricetidae","Abrothrix","illuteus",-999,"Gray Akodont",-999,-999,-999,47.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4804,"Abrothrix jelskii",1,1,42.21693058,"Mammalia","Rodentia","Cricetidae","Abrothrix","jelskii",-999,"Ornate Akodont",-999,-999,-999,34.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",740,"Abrothrix lanosus",1,1,3.177256389,"Mammalia","Rodentia","Cricetidae","Abrothrix","lanosus",-999,"Woolly Akodont",-999,-999,-999,25.915,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",743,"Abrothrix longipilis",1,1,79.67078,"Mammalia","Rodentia","Cricetidae","Abrothrix","longipilis",-999,"Long-haired Akodont",63.00252,4.845,4,185,-999,21.90196,-999,3.145,65.53,-999,-999,-999,-999,-999,0.062286105,-999,-999,-999,-999,-999,-999,15.967,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",745,"Abrothrix markhami",1,1,0.7546025,"Mammalia","Rodentia","Cricetidae","Abrothrix","markhami",-999,"Wellington Akodont",191.716,5.42,2.25,27,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,11.8345,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",751,"Abrothrix olivaceus",1,1,119.3489404,"Mammalia","Rodentia","Cricetidae","Abrothrix","olivaceus",-999,"Olive-colored Akodont",191.716,5.42,2.25,27,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,11.8345,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",754,"Abrothrix sanborni",1,1,2.405627484,"Mammalia","Rodentia","Cricetidae","Abrothrix","sanborni",-999,"Sanborn's Akodont",-999,-999,-999,24.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.5,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",137,"Acerodon celebensis",1,1,0.01462723,"Mammalia","Chiroptera","Pteropodidae","Acerodon","celebensis",-999,"Sulawesi Fruit Bat",-999,0.98,-999,384.84,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.125,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",138,"Acerodon humilis",1,1,0.068617615,"Mammalia","Chiroptera","Pteropodidae","Acerodon","humilis",-999,"Talaud Fruit Bat",-999,-999,-999,352.43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",139,"Acerodon jubatus",1,1,2.186656165,"Mammalia","Chiroptera","Pteropodidae","Acerodon","jubatus",-999,"Golden-capped Fruit Bat",-999,1,1,1087.04,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",140,"Acerodon leucotis",1,1,0.946766225,"Mammalia","Chiroptera","Pteropodidae","Acerodon","leucotis",-999,"Palawan Fruit Bat",-999,-999,-999,352.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",142,"Acerodon mackloti",1,1,1.177835005,"Mammalia","Chiroptera","Pteropodidae","Acerodon","mackloti",-999,"Sunda Fruit Bat",-999,0.98,-999,467.93,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",219,"Acinonyx jubatus",1,1,0.238403234,"Mammalia","Carnivora","Felidae","Acinonyx","jubatus",-999,"Cheetah",598.985,3.04,0.7,50577.92,20.5,90.12,107,465.33,1940,-999,-999,-999,19,456,1.484599589,-999,-999,38446.1,-999,-999,-999,149.0215,-999,-999,25,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",44936,"Acomys airensis",1,1,156.2333516,"Mammalia","Rodentia","Muridae","Acomys","airensis",-999,"Western Saharan Spiny mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",263,"Acomys cahirinus",1,1,275.57118,"Mammalia","Rodentia","Muridae","Acomys","cahirinus",-999,"Northeast African Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",264,"Acomys cilicicus",1,1,0.001771405,"Mammalia","Rodentia","Muridae","Acomys","cilicicus",-999,"Turkish Spiny Mouse",-999,-999,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,3.995833333,-999,-999,-999,-999,-999,-999,-999,-999,17.5,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",265,"Acomys cineraceus",1,1,0.55437053,"Mammalia","Rodentia","Muridae","Acomys","cineraceus",-999,"Gray Spiny Mouse",58,2.47,3.5,43.6,7.483333333,38,14,5.49,12.58,-999,-999,-999,5,59,0.093086927,-999,27,42,-999,-999,-999,12.987,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",136471,"Acomys dimidiatus",1,1,0.541530775,"Mammalia","Rodentia","Muridae","Acomys","dimidiatus",-999,"Eastern Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",266,"Acomys ignitus",1,1,8.561375735,"Mammalia","Rodentia","Muridae","Acomys","ignitus",-999,"Fiery Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",44938,"Acomys johannis",1,1,33.01588113,"Mammalia","Rodentia","Muridae","Acomys","johannis",-999,"Johan's Spiny Mouse",58,2.47,3.5,43.6,7.483333333,38,14,5.49,12.58,-999,-999,-999,5,59,0.093086927,-999,27,42,-999,-999,-999,12.987,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",267,"Acomys kempi",1,1,46.32145565,"Mammalia","Rodentia","Muridae","Acomys","kempi",-999,"Kemp's Spiny Mouse",58,2.47,3.5,43.6,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",268,"Acomys louisae",1,1,56.35100121,"Mammalia","Rodentia","Muridae","Acomys","louisae",-999,"Louise's Spiny Mouse",-999,-999,-999,27.085,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.5,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",269,"Acomys minous",1,1,0.826290065,"Mammalia","Rodentia","Muridae","Acomys","minous",-999,"Crete Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",270,"Acomys mullah",1,1,13.28094212,"Mammalia","Rodentia","Muridae","Acomys","mullah",-999,"Mullah Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",271,"Acomys nesiotes",1,5,0.916136234,"Mammalia","Rodentia","Muridae","Acomys","nesiotes",-999,"Cyprus Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",272,"Acomys percivali",1,1,18.14495631,"Mammalia","Rodentia","Muridae","Acomys","percivali",-999,"Percival's Spiny Mouse",-999,-999,-999,21.99,-999,38.65372,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",273,"Acomys russatus",1,1,3.52590707,"Mammalia","Rodentia","Muridae","Acomys","russatus",-999,"Golden Spiny Mouse",91.308,2.5,-999,54.915,5,34.39268,-999,7,-999,-999,-999,-999,4.4125,-999,-999,-999,-999,-999,-999,-999,-999,11.108,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",44939,"Acomys seurati",1,1,26.59222149,"Mammalia","Rodentia","Muridae","Acomys","seurati",-999,"Seurat's Spiny Mouse",58,2.47,3.5,45.2,7.483333333,38,14,5.49,12.58,-999,-999,-999,5.45,59,0.093086927,-999,27,42,-999,-999,-999,17.5,-999,-999,4.3,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
